state,region,course
"
Alabama
","
Alabama
",The Ravine Golf Course
"
Alabama
","
Alabama
",Dothan Country Club
"
Alabama
","
Alabama
",Dothan National Golf Club
"
Alabama
","
Alabama
",Green Hill Golf Course
"
Alabama
","
Alabama
",Highlands/Marshwood at Highland Oaks Golf Course
"
Alabama
","
Alabama
",Kilgore's Roundabout Plantation Golf Course
"
Alabama
","
Alabama
",Magnolia/Highlands at Highland Oaks Golf Course
"
Alabama
","
Alabama
",Marshwood/Magnolia at Highland Oaks Golf Course
"
Alabama
","
Alabama
",Short at Highland Oaks Golf Course
"
Alabama
","
Alabama
",High Point Golf Club
"
Alabama
","
Alabama
",Elba Country Club
"
Alabama
","
Alabama
",Soldiers Creek Golf Club
"
Alabama
","
Alabama
",Percy Marcum Golf Course
"
Alabama
","
Alabama
",Enterprise Country Club
"
Alabama
","
Alabama
",Country Club of Alabama
"
Alabama
","
Alabama
",Eufaula Country Club
"
Alabama
","
Alabama
",Evergreen Golf Club
"
Alabama
","
Alabama
",Quail Creek Golf Course
"
Alabama
","
Alabama
",Rock Creek Golf Club
"
Alabama
","
Alabama
",Fayette Country Club
"
Alabama
","
Alabama
",Dogwood Hills Golf Club
"
Alabama
","
Alabama
",Blackberry Trail Golf Course
"
Alabama
","
Alabama
",Glenlakes Golf Club - Lakes Course
"
Alabama
","
Alabama
",Glenlakes Golf Club - Vista/Dunes Course
"
Alabama
","
Alabama
",Gulf Links Golf Center
"
Alabama
","
Alabama
",Magnolia Springs Golf
"
Alabama
","
Alabama
",Desoto Country Club
"
Alabama
","
Alabama
",Terrapin Hills Country Club
"
Alabama
","
Alabama
",Blue/Red at Silver Wings Golf Course
"
Alabama
","
Alabama
",Red/White at Silver Wings Golf Course
"
Alabama
","
Alabama
",White/Blue at Silver Wings Golf Course
"
Alabama
","
Alabama
",Gadsden Country Club
"
Alabama
","
Alabama
",Twin Bridges Golf Club
"
Alabama
","
Alabama
",Castle Pines Country Club
"
Alabama
","
Alabama
",River Oaks Golf Course
"
Alabama
","
Alabama
",Backbreaker/Mindbreaker at Silver Lakes
"
Alabama
","
Alabama
",Heartbreaker/Backbreaker at Silver Lakes
"
Alabama
","
Alabama
",Links at Briarmeade
"
Alabama
","
Alabama
",Mindbreaker/Heartbreaker at Silver Lakes
"
Alabama
","
Alabama
",Short at Silver Lakes
"
Alabama
","
Alabama
",Hatchett Creek Golf Club
"
Alabama
","
Alabama
",Blue/Red at Mountain View Golf Course
"
Alabama
","
Alabama
",Red/White at Mountain View Golf Course
"
Alabama
","
Alabama
",White/Blue at Mountain View Golf Course
"
Alabama
","
Alabama
",Lakeview Country Club
"
Alabama
","
Alabama
",Canyon/Loblolly at Cambrian Ridge
"
Alabama
","
Alabama
",Greenville Country Club
"
Alabama
","
Alabama
",Loblolly/Sherling at Cambrian Ridge
"
Alabama
","
Alabama
",Sherling/Canyon at Cambrian Ridge
"
Alabama
","
Alabama
",Short at Cambrian Ridge
"
Alabama
","
Alabama
",Pikeville Country Club
"
Alabama
","
Alabama
",Cotton Creek at The Craft Farms Resort
"
Alabama
","
Alabama
",Cypress Bend at The Craft Farms Resort
"
Alabama
","
Alabama
",Gulf Shores Golf Club
"
Alabama
","
Alabama
",Kiva Dunes Golf Course
"
Alabama
","
Alabama
",Peninsula Golf & Racquet Club - Cypress/Marsh Course
"
Alabama
","
Alabama
",Peninsula Golf & Racquet Club - Lakes/Cypress Course
"
Alabama
","
Alabama
",Peninsula Golf & Racquet Club - Marsh/Lakes Course
"
Alabama
","
Alabama
",The Nine at ONE CLUB
"
Alabama
","
Alabama
",Eagle's Nest Golf Course at Lake Guntersville State Park
"
Alabama
","
Alabama
",Gunter's Landing Golf Club
"
Alabama
","
Alabama
",Stoney Mountain Golf Club
"
Alabama
","
Alabama
",Haleyville Country Club
"
Alabama
","
Alabama
",Cross Creek Golf Course
"
Alabama
","
Alabama
",QC Golf & RV
"
Alabama
","
Alabama
",Plantation Golf Club
"
Alabama
","
Alabama
",Headland Country Club
"
Alabama
","
Alabama
",Silver Ridge Golf Club
"
Alabama
","
Alabama
",Hillside/Valleyside at Valley Hill Country Club
"
Alabama
","
Alabama
",Huntsville Country Club
"
Alabama
","
Alabama
",Lakeside/Hillside at Valley Hill Country Club
"
Alabama
","
Alabama
",Richland Golf Center
"
Alabama
","
Alabama
",Sunset Landing Golf Course
"
Alabama
","
Alabama
",The Ledges Golf Course
"
Alabama
","
Alabama
",Valleyside/Lakeside at Valley Hill Country Club
"
Alabama
","
Alabama
",Silver King Golf Club
"
Alabama
","
Alabama
",Jackson Links Golf Course
"
Alabama
","
Alabama
",Lakewinds Golf Course
"
Alabama
","
Alabama
",Musgrove Country Club
"
Alabama
","
Alabama
",Turtle Point Yacht & Country Club
"
Alabama
","
Alabama
",Lakeview Country Club
"
Alabama
","
Alabama
",Point University Golf Club
"
Alabama
","
Alabama
",Linden Country Club
"
Alabama
","
Alabama
",Livingston Country Club
"
Alabama
","
Alabama
",Steelwood
"
Alabama
","
Alabama
",Crenshaw County Recreational Club
"
Alabama
","
Alabama
",Marion Military Institute Golf Course
"
Alabama
","
Alabama
",East at Cypress Tree Golf Course
"
Alabama
","
Alabama
",West at Cypress Tree Golf Course
"
Alabama
","
Alabama
",Lil'Mole Run Golf Course
"
Alabama
","
Alabama
",Saddle Rock Golf Course
"
Alabama
","
Alabama
",Colonial Golf Course
"
Alabama
","
Alabama
",Fox Run Golf Course
"
Alabama
","
Alabama
",Pines Golf Course
"
Alabama
","
Alabama
",Azalea City Golf Course
"
Alabama
","
Alabama
",Heron Lakes Country Club
"
Alabama
","
Alabama
",Magnolia Grove Golf Club - Crossings Course
"
Alabama
","
Alabama
",Magnolia Grove Golf Club - Falls Course
"
Alabama
","
Alabama
",Magnolia Grove Golf Club - Short Course
"
Alabama
","
Alabama
",Regulation at Country Club of Mobile
"
Alabama
","
Alabama
",Short Nine at Country Club of Mobile
"
Alabama
","
Alabama
",Spring Hill College Golf Club
"
Alabama
","
Alabama
",Vanity Fair Golf & Tennis Club
"
Alabama
","
Alabama
",Montevallo Golf Club
"
Alabama
","
Alabama
",Aroostook Golf Course
"
Alabama
","
Alabama
",Arrowhead Country Club
"
Alabama
","
Alabama
",Cottonwood Golf Club
"
Alabama
","
Alabama
",Gateway Park Executive Golf Course
"
Alabama
","
Alabama
",Lagoon Park Golf Course
"
Alabama
","
Alabama
",Montgomery Country Club
"
Alabama
","
Alabama
",Wynlakes Golf & Country Club
"
Alabama
","
Alabama
",Green Briar Golf Course
"
Alabama
","
Alabama
",Deer Run Golf Course
"
Alabama
","
Alabama
",Cypress Lakes Golf & Country Club
"
Alabama
","
Alabama
",The Shoals Golf Club - Fighting Joe Course
"
Alabama
","
Alabama
",The Shoals Golf Club - Schoolmaster Course
"
Alabama
","
Alabama
",Hidden Meadows Golf Course
"
Alabama
","
Alabama
",Heritage Golf Course
"
Alabama
","
Alabama
",Limestone Springs Golf Club
"
Alabama
","
Alabama
",Whispering Pines Golf Course
"
Alabama
","
Alabama
",Saugahatchee Country Club
"
Alabama
","
Alabama
",The Lake at Grand National Golf Course
"
Alabama
","
Alabama
",The Links at Grand National Golf Course
"
Alabama
","
Alabama
",The Short at Grand National Golf Course
"
Alabama
","
Alabama
",Opp Country Club
"
Alabama
","
Alabama
",Orange Beach Golf Center
"
Alabama
","
Alabama
",Highlands at Hampton Cove Golf Course
"
Alabama
","
Alabama
",River at Hampton Cove Golf Course
"
Alabama
","
Alabama
",Short at Hampton Cove Golf Course
"
Alabama
","
Alabama
",Cider Ridge Golf Club
"
Alabama
","
Alabama
",Fox Ridge Golf Course
"
Alabama
","
Alabama
",Ballantrae Golf Club
"
Alabama
","
Alabama
",Oaks Golf Club at Oak Mountain State Park
"
Alabama
","
Alabama
",Pell City Country Club
"
Alabama
","
Alabama
",Lakewood Golf Course
"
Alabama
","
Alabama
",Cumberland Lake Golf Course
"
Alabama
","
Alabama
",Azalea at Marriott's Grand Hotel & Lakewood Golf Club
"
Alabama
","
Alabama
",Dogwood at Marriott's Grand Hotel & Lakewood Golf Club
"
Alabama
","
Alabama
",Capitol Hill Golf Club - Judge Course
"
Alabama
","
Alabama
",Capitol Hill Golf Club - Legislator Course
"
Alabama
","
Alabama
",Capitol Hill Golf Club - Senator Course
"
Alabama
","
Alabama
",Prattville Country Club
"
Alabama
","
Alabama
",Rainsville Golf & Country Club
"
Alabama
","
Alabama
",Redmont Country Club
"
Alabama
","
Alabama
",The Links at Redstone - Patriot Course
"
Alabama
","
Alabama
",The Links at Redstone - Warrior Course
"
Alabama
","
Alabama
",Knolls Country Club
"
Alabama
","
Alabama
",Roanoke Country Club
"
Alabama
","
Alabama
",The General Golf Course at Joe Wheeler State Park
"
Alabama
","
Alabama
",Twin Pines Country Club
"
Alabama
","
Alabama
",Broken Arrow Golf Course
"
Alabama
","
Alabama
",Goose Pond Colony Resort - Lake Course
"
Alabama
","
Alabama
",Goose Pond Colony Resort - Plantation Course
"
Alabama
","
Alabama
",Scottsboro Golf & Country Club
"
Alabama
","
Alabama
",Craig Golf Course
"
Alabama
","
Alabama
",Selma Country Club
"
Alabama
","
Alabama
",Oak Hill Country Club
"
Alabama
","
Alabama
",FarmLinks at Pursell Farms
"
Alabama
","
Alabama
",Sylacauga Country Club
"
Alabama
","
Alabama
",Talladega Municipal Golf
"
Alabama
","
Alabama
",Timber Ridge Golf Club
"
Alabama
","
Alabama
",Meadowlake Golf Course
"
Alabama
","
Alabama
",Pineview Country Club
"
Alabama
","
Alabama
",Trojan Oaks Golf Course
"
Alabama
","
Alabama
",Troy Country Club
"
Alabama
","
Alabama
",Trussville Country Club
"
Alabama
","
Alabama
",Indian Hills Country Club
"
Alabama
","
Alabama
",Northriver Yacht Club
"
Alabama
","
Alabama
",Ol' Colony Golf Complex
"
Alabama
","
Alabama
",Tall Pines Golf Course
"
Alabama
","
Alabama
",The Links At Tuscaloosa
"
Alabama
","
Alabama
",Spring Creek Golf Course
"
Alabama
","
Alabama
",Tennessee Valley Country Club
"
Alabama
","
Alabama
",Cherokee Ridge Country Club
"
Alabama
","
Alabama
",Union Springs Country Club
"
Alabama
","
Alabama
",Rolling Hills Golf Course
"
Alabama
","
Alabama
",Valley Grande Golf Course
"
Alabama
","
Alabama
",Old Overton Club
"
Alabama
","
Alabama
",Emerald Mountain Golf Club
"
Alabama
","
Alabama
",Quail Walk Golf Course
"
Alabama
","
Alabama
",Sumter Country Club
"
Alaska
","
Alaska
",Fireweed Meadows Golf Course
"
Alaska
","
Alaska
",Anchorage Golf Course
"
Alaska
","
Alaska
",Fox Hollow Golf Course
"
Alaska
","
Alaska
",Russian Jack Springs Golf Course
"
Alaska
","
Alaska
",Fairbanks Golf & Country Club
"
Alaska
","
Alaska
",North Star Golf Club
"
Alaska
","
Alaska
",Moose Run Golf Course - Creek Course
"
Alaska
","
Alaska
",Moose Run Golf Course - Hill Course
"
Alaska
","
Alaska
",Chena Bend Golf Course
"
Alaska
","
Alaska
",Mount Fairweather Golf Course
"
Alaska
","
Alaska
",Valley of the Eagles Golf Links
"
Alaska
","
Alaska
",Weeping Trout Sports Resort
"
Alaska
","
Alaska
",Black Diamond Golf Course
"
Alaska
","
Alaska
",Homer Golf Course
"
Alaska
","
Alaska
",Mendenhall Golf Course
"
Alaska
","
Alaska
",Kenai Golf Course
"
Alaska
","
Alaska
",Bear Valley Golf Course
"
Alaska
","
Alaska
",Cottonwood Country Club
"
Alaska
","
Alaska
",Fishhook Golf Course
"
Alaska
","
Alaska
",Palmer Golf Course
"
Alaska
","
Alaska
",Sea Mountain Golf Course
"
Alaska
","
Alaska
",Birch Ridge Golf Course
"
Alaska
","
Alaska
",Bird Homestead Golf Course
"
Alaska
","
Alaska
",Settlers Bay
"
Alaska
","
Alaska
",Sleepy Hollow Golf Course
"
Alaska
","
Alaska
",Muskeg Meadows Golf Course
"
Arizona
","
Arizona
",Ajo Country Club
"
Arizona
","
Arizona
",Alpine Country Club
"
Arizona
","
Arizona
",Anthem Golf & Country Club - Ironwood Course
"
Arizona
","
Arizona
",Anthem Golf & Country Club - Persimmon Course
"
Arizona
","
Arizona
",Apache Creek Golf Club
"
Arizona
","
Arizona
",Roadhaven Golf Course
"
Arizona
","
Arizona
",Superstition Mountain Golf & Country Club - Lost Gold Course
"
Arizona
","
Arizona
",Superstition Mountain Golf & Country Club - Prospector Course
"
Arizona
","
Arizona
",Arizona City Club
"
Arizona
","
Arizona
",Coldwater Golf Club
"
Arizona
","
Arizona
",Mesa View Golf Course
"
Arizona
","
Arizona
","Beaver Dam Lodge, Golf & RV Resort"
"
Arizona
","
Arizona
",San Pedro Golf Course
"
Arizona
","
Arizona
",Turquoise Hills Family Golf Center
"
Arizona
","
Arizona
",Copper Canyon Golf Club - Lake/Mountain Course
"
Arizona
","
Arizona
",Copper Canyon Golf Club - Mountain/Vista Course
"
Arizona
","
Arizona
",Copper Canyon Golf Club - Vista/Lake Course
"
Arizona
","
Arizona
",Sundance Golf Club
"
Arizona
","
Arizona
",Verrado Golf Club - Founders Course
"
Arizona
","
Arizona
",Verrado Golf Club - Victory Course
"
Arizona
","
Arizona
",Chaparral Country Club
"
Arizona
","
Arizona
",Laughlin Ranch Golf Club
"
Arizona
","
Arizona
",Riverview RV Resort
"
Arizona
","
Arizona
",Desert Forest Golf Club
"
Arizona
","
Arizona
",North at Boulders Golf Club & Resort
"
Arizona
","
Arizona
",South at Boulders Golf Club & Resort
"
Arizona
","
Arizona
",Dave White Municipal Golf Course
"
Arizona
","
Arizona
",Francisco Grande Resort & Golf Club
"
Arizona
","
Arizona
",Mission Royale Golf Club
"
Arizona
","
Arizona
",Palm Creek Golf Club
"
Arizona
","
Arizona
",Tierra Grande Country Club
"
Arizona
","
Arizona
",Dove Valley Ranch Golf Club
"
Arizona
","
Arizona
",Rancho Manana Golf Club
"
Arizona
","
Arizona
",Tatum Ranch Golf Club
"
Arizona
","
Arizona
",Bear Creek Golf Complex - Bear Course
"
Arizona
","
Arizona
",Bear Creek Golf Complex - Cub Course
"
Arizona
","
Arizona
",Crowne Plaza San Marcos Golf Resort
"
Arizona
","
Arizona
",Ironwood Country Club
"
Arizona
","
Arizona
",Lone Tree Golf Club
"
Arizona
","
Arizona
",Ocotillo Golf Club - Blue/White
"
Arizona
","
Arizona
",Ocotillo Golf Club - Gold/Blue
"
Arizona
","
Arizona
",Ocotillo Golf Club - White/Gold
"
Arizona
","
Arizona
",Springfield Golf Resort
"
Arizona
","
Arizona
",Sunbird Golf Resort
"
Arizona
","
Arizona
",Whirlwind Golf Club - The Cattail Course
"
Arizona
","
Arizona
",Whirlwind Golf Club - The Devil's Claw Course
"
Arizona
","
Arizona
",Agave Highlands
"
Arizona
","
Arizona
",Coyote Trails Golf Course
"
Arizona
","
Arizona
",Prescott Country Club
"
Arizona
","
Arizona
",Quailwood Greens Golf Course
"
Arizona
","
Arizona
",City of Douglas Municipal Golf Course
"
Arizona
","
Arizona
",Greenlee Country Club
"
Arizona
","
Arizona
",Pueblo El Mirage Golf Club
"
Arizona
","
Arizona
",Robson Ranch Golf Club
"
Arizona
","
Arizona
",Aspen Valley Golf Club
"
Arizona
","
Arizona
",Canyon at Forest Highlands Golf Club
"
Arizona
","
Arizona
",Continental Country Club
"
Arizona
","
Arizona
",Flagstaff Ranch Golf Club
"
Arizona
","
Arizona
",Meadow at Forest Highlands Golf Club
"
Arizona
","
Arizona
",Pine Canyon Club
"
Arizona
","
Arizona
",Timberline Short Nine
"
Arizona
","
Arizona
",3 Parks Fairways
"
Arizona
","
Arizona
",Oasis Golf Club
"
Arizona
","
Arizona
",Poston Butte Golf Club
"
Arizona
","
Arizona
",Mountain View Golf Course
"
Arizona
","
Arizona
",Huukan Golf Club
"
Arizona
","
Arizona
",Los Lagos Golf Club
"
Arizona
","
Arizona
",Desert Canyon Golf Club
"
Arizona
","
Arizona
",Eagle Mountain Golf Club
"
Arizona
","
Arizona
",FireRock Country Club
"
Arizona
","
Arizona
",SunRidge Canyon Golf Club
"
Arizona
","
Arizona
",Greenfield Lakes Golf Course
"
Arizona
","
Arizona
",Kokopelli Golf Course
"
Arizona
","
Arizona
",Seville Golf & Country Club
"
Arizona
","
Arizona
",Trilogy Golf Club at Power Ranch
"
Arizona
","
Arizona
",Western Skies Golf Club
"
Arizona
","
Arizona
",Arrowhead Country Club
"
Arizona
","
Arizona
",Bellair Golf Club
"
Arizona
","
Arizona
",Desert Mirage Golf Course
"
Arizona
","
Arizona
","Legend at Arrowhead, The"
"
Arizona
","
Arizona
",The 500 Club
"
Arizona
","
Arizona
",The 500 Club - Futures Course
"
Arizona
","
Arizona
",Apache Stronghold Golf Course
"
Arizona
","
Arizona
",Cobre Valle Country Club
"
Arizona
","
Arizona
",Dinosaur Mountain at Gold Canyon Golf Resort
"
Arizona
","
Arizona
",Gold Canyon RV & Golf Resort
"
Arizona
","
Arizona
",Mountain Brook Golf Club
"
Arizona
","
Arizona
",Sidewinder at Gold Canyon Golf Resort
"
Arizona
","
Arizona
",Eagle's Nest Country Club at Pebble Creek Resort
"
Arizona
","
Arizona
",Golf Club of Estrella
"
Arizona
","
Arizona
",Palm Valley Golf Club - Lakes Course
"
Arizona
","
Arizona
",Palm Valley Golf Club - Palms Course
"
Arizona
","
Arizona
",Tres Rios Golf Course at Estrella Mountain Park
"
Arizona
","
Arizona
",Tuscany Falls at PebbleCreek - East Course
"
Arizona
","
Arizona
",Tuscany Falls at PebbleCreek - West Course
"
Arizona
","
Arizona
",Canoa Hills Golf Course
"
Arizona
","
Arizona
",Canoa Ranch Golf Club
"
Arizona
","
Arizona
",Country Club of Green Valley
"
Arizona
","
Arizona
",Desert Hills Golf Club
"
Arizona
","
Arizona
",Haven at Haven Public Golf Club
"
Arizona
","
Arizona
",Quail Creek Golf Club - Coyote/Road Runner Course
"
Arizona
","
Arizona
",Quail Creek Golf Club - Quail/Coyote Course
"
Arizona
","
Arizona
",Quail Creek Golf Club - Road Runner/Quail Course
"
Arizona
","
Arizona
",San Ignacio Golf Club
"
Arizona
","
Arizona
",Torres Blancas Golf Club
"
Arizona
","
Arizona
",Tortuga at Haven Public Golf Club
"
Arizona
","
Arizona
",Hayden Golf Club
"
Arizona
","
Arizona
",Hidden Cove Golf Course
"
Arizona
","
Arizona
",Kearny Golf Club
"
Arizona
","
Arizona
",Cerbat Cliffs Golf Course
"
Arizona
","
Arizona
",Valle Vista Country Club
"
Arizona
","
Arizona
",Bridgewater Links Golf Course
"
Arizona
","
Arizona
",Havasu Island Golf Course
"
Arizona
","
Arizona
",Lake Havasu Golf Club - East Course
"
Arizona
","
Arizona
",Lake Havasu Golf Club - West Course
"
Arizona
","
Arizona
",The Refuge Golf Club
"
Arizona
","
Arizona
",BC Ranch Golf Club
"
Arizona
","
Arizona
",Aguila Golf Course
"
Arizona
","
Arizona
",Aguila Nine Golf Course
"
Arizona
","
Arizona
",Southern Ridge Golf Club
"
Arizona
","
Arizona
",Falcon Golf Club
"
Arizona
","
Arizona
",Wigwam Resort - Blue Course
"
Arizona
","
Arizona
",Wigwam Resort - Gold Course
"
Arizona
","
Arizona
",Wigwam Resort - Red Course
"
Arizona
","
Arizona
",Palms Golf Club
"
Arizona
","
Arizona
",Gallery Golf Club - North Golf Course
"
Arizona
","
Arizona
",Gallery Golf Club - South Golf Course
"
Arizona
","
Arizona
",Highlands at Dove Mountain
"
Arizona
","
Arizona
",The Golf Club at Dove Mountain - Saguaro/Tortolita
"
Arizona
","
Arizona
",The Golf Club at Dove Mountain - Tortolita/Wild Burro
"
Arizona
","
Arizona
",The Golf Club at Dove Mountain - Wild Burro/Saguaro
"
Arizona
","
Arizona
",Ak-Chin Southern Dunes Golf Club
"
Arizona
","
Arizona
",The Duke at Rancho El Dorado
"
Arizona
","
Arizona
",Alta Mesa Country Club
"
Arizona
","
Arizona
",Apache Wells Country Club
"
Arizona
","
Arizona
",Arizona Golf Resort
"
Arizona
","
Arizona
",Augusta Ranch Golf Club
"
Arizona
","
Arizona
",Championship at Viewpoint Golf Resort
"
Arizona
","
Arizona
",Desert Sands Golf Course
"
Arizona
","
Arizona
",Dobson Ranch Golf Course
"
Arizona
","
Arizona
",Fountain of the Sun Country Club
"
Arizona
","
Arizona
",Four Peaks Course at Sunland Springs Village
"
Arizona
","
Arizona
",Las Sendas Golf Club
"
Arizona
","
Arizona
",Leisure World Golf - Coyote Run Course
"
Arizona
","
Arizona
",Leisure World Golf - Heron Lakes Course
"
Arizona
","
Arizona
",Longbow Golf Club
"
Arizona
","
Arizona
",Mesa Country Club
"
Arizona
","
Arizona
",Nine Hole Executive at Viewpoint Golf Resort
"
Arizona
","
Arizona
",Painted Mountain Golf Club
"
Arizona
","
Arizona
",Red Mountain Ranch Country Club
"
Arizona
","
Arizona
",Royal Palms Golf Course
"
Arizona
","
Arizona
",San Tan Course at Sunland Springs Village
"
Arizona
","
Arizona
",Stripe Show Golf Club
"
Arizona
","
Arizona
",Sunland Village East Golf Course
"
Arizona
","
Arizona
",Sunland Village Golf Course
"
Arizona
","
Arizona
",Superstition Course at Sunland Springs Village
"
Arizona
","
Arizona
",Superstition Springs Golf Club
"
Arizona
","
Arizona
",Toka Sticks Golf Club
"
Arizona
","
Arizona
",El Rio Golf Club
"
Arizona
","
Arizona
",Willow Springs Golf Course
"
Arizona
","
Arizona
",Pinewood Country Club
"
Arizona
","
Arizona
",Kino Springs Golf Course
"
Arizona
","
Arizona
",SaddleBrooke Ranch Golf Club
"
Arizona
","
Arizona
",The Views Golf Club at Oro Valley
"
Arizona
","
Arizona
",Pine Meadow Country Club Estates
"
Arizona
","
Arizona
",Lake Powell National Golf Course
"
Arizona
","
Arizona
",Paradise Valley Country Club
"
Arizona
","
Arizona
",Stonecreek Golf Club
"
Arizona
","
Arizona
",Emerald Canyon Golf Course
"
Arizona
","
Arizona
",Havasu Springs Resort
"
Arizona
","
Arizona
",Payson Golf Course
"
Arizona
","
Arizona
",The Golf Club at Chaparral Pines
"
Arizona
","
Arizona
",The Rim Golf Club
"
Arizona
","
Arizona
",Blackstone Country Club
"
Arizona
","
Arizona
",Peoria Pines Golf Club
"
Arizona
","
Arizona
",Quintero Golf Club
"
Arizona
","
Arizona
",Trilogy Golf Club at Vistancia
"
Arizona
","
Arizona
",Westbrook Village Golf Club - Lakes Course
"
Arizona
","
Arizona
",Westbrook Village Golf Club - Vistas Course
"
Arizona
","
Arizona
",Ahwatukee Country Club
"
Arizona
","
Arizona
",Arizona Biltmore Golf Club - Adobe Course
"
Arizona
","
Arizona
",Arizona Biltmore Golf Club - Links Course
"
Arizona
","
Arizona
",Arizona Grand Resort
"
Arizona
","
Arizona
",Cave Creek Golf Course
"
Arizona
","
Arizona
",Championship at Moon Valley Country Club
"
Arizona
","
Arizona
",Encanto Golf Course
"
Arizona
","
Arizona
",Encanto Nine Golf Course
"
Arizona
","
Arizona
",Faldo at Wildfire Golf Club at Desert Ridge Resort
"
Arizona
","
Arizona
",Foothills Golf Club
